"Statistic","CensusYear","County","UNIT","VALUE"
"Population","1979","Co. Longford","Number","30785"
"Population","1979","Co. Louth","Number","86135"
"Population","1979","Co. Mayo","Number","114019"
"Population","1979","Co. Meath","Number","90715"
"Population","1979","Co. Monaghan","Number","50376"
"Population","1979","Co. Offaly","Number","57342"
"Population","1979","Co. Roscommon","Number","54189"
"Population","1979","Co. Sligo","Number","54610"
"Population","1979","Co. Tipperary","Number","133741"
"Population","1979","Co. Waterford","Number","87278"
"Population","1979","Co. Westmeath","Number","59885"
"Population","1979","Co. Wexford","Number","96421"
"Population","1979","Co. Wicklow","Number","83950"
"Population","1981","Ireland","Number","3443405"
"Population","1981","Co. Carlow","Number","39820"
"Population","1981","Co. Cavan","Number","53855"
"Population","1981","Co. Clare","Number","87567"
"Population","1981","Co. Cork","Number","402465"
"Population","1981","Co. Donegal","Number","125112"
"Population","1981","Co. Dublin","Number","1003164"
"Population","1981","Co. Galway","Number","172018"
"Population","1981","Co. Kerry","Number","122770"
"Population","1981","Co. Kildare","Number","104122"
"Population","1981","Co. Kilkenny","Number","70806"
"Population","1981","Co. Laois","Number","51171"
"Population","1981","Co. Leitrim","Number","27609"
"Population","1981","Co. Limerick","Number","161661"
"Population","1981","Co. Longford","Number","31140"
"Population","1981","Co. Louth","Number","88514"
"Population","1981","Co. Mayo","Number","114766"
"Population","1981","Co. Meath","Number","95419"
"Population","1981","Co. Monaghan","Number","51192"
"Population","1981","Co. Offaly","Number","58312"
"Population","1981","Co. Roscommon","Number","54543"
"Population","1981","Co. Sligo","Number","55474"
"Population","1981","Co. Tipperary","Number","135261"
"Population","1981","Co. Waterford","Number","88591"
"Population","1981","Co. Westmeath","Number","61523"
"Population","1981","Co. Wexford","Number","99081"
"Population","1981","Co. Wicklow","Number","87449"
"Population","1986","Ireland","Number","3540643"
"Population","1986","Co. Carlow","Number","40988"
"Population","1986","Co. Cavan","Number","53965"
"Population","1986","Co. Clare","Number","91344"
"Population","1986","Co. Cork","Number","412735"
"Population","1986","Co. Donegal","Number","129664"
"Population","1986","Co. Dublin","Number","1021449"
"Population","1986","Co. Galway","Number","178552"
"Population","1986","Co. Kerry","Number","124159"
"Population","1986","Co. Kildare","Number","116247"
"Population","1986","Co. Kilkenny","Number","73186"
"Population","1986","Co. Laois","Number","53284"
"Population","1986","Co. Leitrim","Number","27035"
"Population","1986","Co. Limerick","Number","164569"
"Population","1986","Co. Longford","Number","31496"
"Population","1986","Co. Louth","Number","91810"
"Population","1986","Co. Mayo","Number","115184"
"Population","1986","Co. Meath","Number","103881"
"Population","1986","Co. Monaghan","Number","52379"
"Population","1986","Co. Offaly","Number","59835"
"Population","1986","Co. Roscommon","Number","54592"
"Population","1986","Co. Sligo","Number","56046"
"Population","1986","Co. Tipperary","Number","136619"
"Population","1986","Co. Waterford","Number","91151"
"Population","1986","Co. Westmeath","Number","63379"
"Population","1986","Co. Wexford","Number","102552"
"Population","1986","Co. Wicklow","Number","94542"
"Population","1991","Ireland","Number","3525719"
"Population","1991","Co. Carlow","Number","40942"
"Population","1991","Co. Cavan","Number","52796"
"Population","1991","Co. Clare","Number","90918"
"Population","1991","Co. Cork","Number","410369"
"Population","1991","Co. Donegal","Number","128117"
"Population","1991","Co. Dublin","Number","1025304"
"Population","1991","Co. Galway","Number","180364"
"Population","1991","Co. Kerry","Number","121894"
"Population","1991","Co. Kildare","Number","122656"
"Population","1991","Co. Kilkenny","Number","73635"
"Population","1991","Co. Laois","Number","52314"
"Population","1991","Co. Leitrim","Number","25301"
"Population","1991","Co. Limerick","Number","161956"
"Population","1991","Co. Longford","Number","30296"
"Population","1991","Co. Louth","Number","90724"
"Population","1991","Co. Mayo","Number","110713"
"Population","1991","Co. Meath","Number","105370"
"Population","1991","Co. Monaghan","Number","51293"
"Population","1991","Co. Offaly","Number","58494"
"Population","1991","Co. Roscommon","Number","51897"
"Population","1991","Co. Sligo","Number","54756"
"Population","1991","Co. Tipperary","Number","132772"
"Population","1991","Co. Waterford","Number","91624"
"Population","1991","Co. Westmeath","Number","61880"
"Population","1991","Co. Wexford","Number","102069"
"Population","1991","Co. Wicklow","Number","97265"
"Population","1996","Ireland","Number","3626087"
"Population","1996","Co. Carlow","Number","41616"
"Population","1996","Co. Cavan","Number","52944"
"Population","1996","Co. Clare","Number","94006"
"Population","1996","Co. Cork","Number","420510"
"Population","1996","Co. Donegal","Number","129994"
"Population","1996","Co. Dublin","Number","1058264"
"Population","1996","Co. Galway","Number","188854"
"Population","1996","Co. Kerry","Number","126130"
"Population","1996","Co. Kildare","Number","134992"
"Population","1996","Co. Kilkenny","Number","75336"
"Population","1996","Co. Laois","Number","52945"
"Population","1996","Co. Leitrim","Number","25057"
"Population","1996","Co. Limerick","Number","165042"
"Population","1996","Co. Longford","Number","30166"
"Population","1996","Co. Louth","Number","92166"
"Population","1996","Co. Mayo","Number","111524"
"Population","1996","Co. Meath","Number","109732"
"Population","1996","Co. Monaghan","Number","51313"
"Population","1996","Co. Offaly","Number","59117"
"Population","1996","Co. Roscommon","Number","51975"
"Population","1996","Co. Sligo","Number","55821"
"Population","1996","Co. Tipperary","Number","133535"
"Population","1996","Co. Waterford","Number","94680"
"Population","1996","Co. Westmeath","Number","63314"
"Population","1996","Co. Wexford","Number","104371"
"Population","1996","Co. Wicklow","Number","102683"
"Population","2002","Ireland","Number","3917203"
"Population","2002","Co. Carlow","Number","46014"
"Population","2002","Co. Cavan","Number","56546"
"Population","2002","Co. Clare","Number","103277"
"Population","2002","Co. Cork","Number","447829"
"Population","2002","Co. Donegal","Number","137575"
"Population","2002","Co. Dublin","Number","1122821"
"Population","2002","Co. Galway","Number","209077"
"Population","2002","Co. Kerry","Number","132527"
"Population","2002","Co. Kildare","Number","163944"
"Population","2002","Co. Kilkenny","Number","80339"
"Population","2002","Co. Laois","Number","58774"
"Population","2002","Co. Leitrim","Number","25799"
"Population","2002","Co. Limerick","Number","175304"
"Population","2002","Co. Longford","Number","31068"
"Population","2002","Co. Louth","Number","101821"
"Population","2002","Co. Mayo","Number","117446"
"Population","2002","Co. Meath","Number","134005"
"Population","2002","Co. Monaghan","Number","52593"
"Population","2002","Co. Offaly","Number","63663"
"Population","2002","Co. Roscommon","Number","53774"
"Population","2002","Co. Sligo","Number","58200"
"Population","2002","Co. Tipperary","Number","140131"
"Population","2002","Co. Waterford","Number","101546"
"Population","2002","Co. Westmeath","Number","71858"
"Population","2002","Co. Wexford","Number","116596"
"Population","2002","Co. Wicklow","Number","114676"
"Population","2006","Ireland","Number","4239848"
"Population","2006","Co. Carlow","Number","50349"
"Population","2006","Co. Cavan","Number","64003"
"Population","2006","Co. Clare","Number","110950"
"Population","2006","Co. Cork","Number","481295"
"Population","2006","Co. Donegal","Number","147264"
"Population","2006","Co. Dublin","Number","1187176"
"Population","2006","Co. Galway","Number","231670"
"Population","2006","Co. Kerry","Number","139835"
"Population","2006","Co. Kildare","Number","186335"
"Population","2006","Co. Kilkenny","Number","87558"
"Population","2006","Co. Laois","Number","67059"
"Population","2006","Co. Leitrim","Number","28950"
"Population","2006","Co. Limerick","Number","184055"
"Population","2006","Co. Longford","Number","34391"
"Population","2006","Co. Louth","Number","111267"
"Population","2006","Co. Mayo","Number","123839"
"Population","2006","Co. Meath","Number","162831"
"Population","2006","Co. Monaghan","Number","55997"
"Population","2006","Co. Offaly","Number","70868"
"Population","2006","Co. Roscommon","Number","58768"
"Population","2006","Co. Sligo","Number","60894"
"Population","2006","Co. Tipperary","Number","149244"
"Population","2006","Co. Waterford","Number","107961"
"Population","2006","Co. Westmeath","Number","79346"
"Population","2006","Co. Wexford","Number","131749"
"Population","2006","Co. Wicklow","Number","126194"
"Population","2011","Ireland","Number","4588252"
"Population","2011","Co. Carlow","Number","54612"
"Population","2011","Co. Cavan","Number","73183"
"Population","2011","Co. Clare","Number","117196"
"Population","2011","Co. Cork","Number","519032"
"Population","2011","Co. Donegal","Number","161137"
"Population","2011","Co. Dublin","Number","1273069"
"Population","2011","Co. Galway","Number","250653"
"Population","2011","Co. Kerry","Number","145502"
"Population","2011","Co. Kildare","Number","210312"
"Population","2011","Co. Kilkenny","Number","95419"
"Population","2011","Co. Laois","Number","80559"
"Population","2011","Co. Leitrim","Number","31798"
"Population","2011","Co. Limerick","Number","191809"
"Population","2011","Co. Longford","Number","39000"
"Population","2011","Co. Louth","Number","122897"
"Population","2011","Co. Mayo","Number","130638"
"Population","2011","Co. Meath","Number","184135"
"Population","2011","Co. Monaghan","Number","60483"
"Population","2011","Co. Offaly","Number","76687"
"Population","2011","Co. Roscommon","Number","64065"
"Population","2011","Co. Sligo","Number","65393"
"Population","2011","Co. Tipperary","Number","158754"
"Population","2011","Co. Waterford","Number","113795"
"Population","2011","Co. Westmeath","Number","86164"
"Population","2011","Co. Wexford","Number","145320"
"Population","2011","Co. Wicklow","Number","136640"
"Population","2016","Ireland","Number","4761865"
"Population","2016","Co. Carlow","Number","56932"
"Population","2016","Co. Cavan","Number","76176"
"Population","2016","Co. Clare","Number","118817"
"Population","2016","Co. Cork","Number","542868"
"Population","2016","Co. Donegal","Number","159192"
"Population","2016","Co. Dublin","Number","1347359"
"Population","2016","Co. Galway","Number","258058"
"Population","2016","Co. Kerry","Number","147707"
"Population","2016","Co. Kildare","Number","222504"
"Population","2016","Co. Kilkenny","Number","99232"
"Population","2016","Co. Laois","Number","84697"
"Population","2016","Co. Leitrim","Number","32044"
"Population","2016","Co. Limerick","Number","194899"
"Population","2016","Co. Longford","Number","40873"
"Population","2016","Co. Louth","Number","128884"
"Population","2016","Co. Mayo","Number","130507"
"Population","2016","Co. Meath","Number","195044"
"Population","2016","Co. Monaghan","Number","61386"
"Population","2016","Co. Offaly","Number","77961"
"Population","2016","Co. Roscommon","Number","64544"
"Population","2016","Co. Sligo","Number","65535"
"Population","2016","Co. Tipperary","Number","159553"
"Population","2016","Co. Waterford","Number","116176"
"Population","2016","Co. Westmeath","Number","88770"
"Population","2016","Co. Wexford","Number","149722"
"Population","2016","Co. Wicklow","Number","142425"
"Population","2022","Ireland","Number","5123536"
"Population","2022","Co. Carlow","Number","61931"
"Population","2022","Co. Cavan","Number","81201"
"Population","2022","Co. Clare","Number","127419"
"Population","2022","Co. Cork","Number","581231"
"Population","2022","Co. Donegal","Number","166321"
"Population","2022","Co. Dublin","Number","1450701"
"Population","2022","Co. Galway","Number","276451"
"Population","2022","Co. Kerry","Number","155258"
"Population","2022","Co. Kildare","Number","246977"
"Population","2022","Co. Kilkenny","Number","103685"
"Population","2022","Co. Laois","Number","91657"
"Population","2022","Co. Leitrim","Number","35087"
"Population","2022","Co. Limerick","Number","205444"
"Population","2022","Co. Longford","Number","46634"
"Population","2022","Co. Louth","Number","139100"
"Population","2022","Co. Mayo","Number","137231"
"Population","2022","Co. Meath","Number","220296"
"Population","2022","Co. Monaghan","Number","64832"
"Population","2022","Co. Offaly","Number","82668"
"Population","2022","Co. Roscommon","Number","69995"
"Population","2022","Co. Sligo","Number","69819"
"Population","2022","Co. Tipperary","Number","167661"
"Population","2022","Co. Waterford","Number","127085"
"Population","2022","Co. Westmeath","Number","95840"
"Population","2022","Co. Wexford","Number","163527"
"Population","2022","Co. Wicklow","Number","155485"
"Actual change since previous census","1926","Ireland","Number","-167696"
"Actual change since previous census","1926","Co. Carlow","Number","-1776"
"Actual change since previous census","1926","Co. Cavan","Number","-8721"
"Actual change since previous census","1926","Co. Clare","Number","-9168"
"Actual change since previous census","1926","Co. Cork","Number","-26357"
"Actual change since previous census","1926","Co. Donegal","Number","-16029"
"Actual change since previous census","1926","Co. Dublin","Number","28458"
"Actual change since previous census","1926","Co. Galway","Number","-12858"
"Actual change since previous census","1926","Co. Kerry","Number","-10520"
"Actual change since previous census","1926","Co. Kildare","Number","-8599"
"Actual change since previous census","1926","Co. Kilkenny","Number","-3972"
"Actual change since previous census","1926","Co. Laois","Number","-3089"
"Actual change since previous census","1926","Co. Leitrim","Number","-7675"
"Actual change since previous census","1926","Co. Limerick","Number","-2726"
"Actual change since previous census","1926","Co. Longford","Number","-3973"
"Actual change since previous census","1926","Co. Louth","Number","-926"
"Actual change since previous census","1926","Co. Mayo","Number","-19487"
"Actual change since previous census","1926","Co. Meath","Number","-2122"
"Actual change since previous census","1926","Co. Monaghan","Number","-6324"
"Actual change since previous census","1926","Co. Offaly","Number","-4240"
"Actual change since previous census","1926","Co. Roscommon","Number","-10400"
"Actual change since previous census","1926","Co. Sligo","Number","-7657"
"Actual change since previous census","1926","Co. Tipperary","Number","-11418"
"Actual change since previous census","1926","Co. Waterford","Number","-5404"
"Actual change since previous census","1926","Co. Westmeath","Number","-3168"
"Actual change since previous census","1926","Co. Wexford","Number","-6425"
"Actual change since previous census","1926","Co. Wicklow","Number","-3120"
"Actual change since previous census","1936","Ireland","Number","-3572"
"Actual change since previous census","1936","Co. Carlow","Number","-24"
"Actual change since previous census","1936","Co. Cavan","Number","-5782"
"Actual change since previous census","1936","Co. Clare","Number","-5185"
"Actual change since previous census","1936","Co. Cork","Number","-9790"
"Actual change since previous census","1936","Co. Donegal","Number","-10198"
"Actual change since previous census","1936","Co. Dublin","Number","81271"
"Actual change since previous census","1936","Co. Galway","Number","-1168"
"Actual change since previous census","1936","Co. Kerry","Number","-9337"
"Actual change since previous census","1936","Co. Kildare","Number","-136"
"Actual change since previous census","1936","Co. Kilkenny","Number","-2376"
"Actual change since previous census","1936","Co. Laois","Number","-1431"
"Actual change since previous census","1936","Co. Leitrim","Number","-4999"
"Actual change since previous census","1936","Co. Limerick","Number","810"
"Actual change since previous census","1936","Co. Longford","Number","-2000"
"Actual change since previous census","1936","Co. Louth","Number","1600"
"Actual change since previous census","1936","Co. Mayo","Number","-11341"
"Actual change since previous census","1936","Co. Meath","Number","-1564"
"Actual change since previous census","1936","Co. Monaghan","Number","-3842"
"Actual change since previous census","1936","Co. Offaly","Number","-1284"
"Actual change since previous census","1936","Co. Roscommon","Number","-5990"
"Actual change since previous census","1936","Co. Sligo","Number","-3941"
"Actual change since previous census","1936","Co. Tipperary","Number","-3180"
"Actual change since previous census","1936","Co. Waterford","Number","-948"
"Actual change since previous census","1936","Co. Westmeath","Number","-2112"
"Actual change since previous census","1936","Co. Wexford","Number","-1603"
"Actual change since previous census","1936","Co. Wicklow","Number","978"
"Actual change since previous census","1946","Ireland","Number","-13313"
"Actual change since previous census","1946","Co. Carlow","Number","-371"
"Actual change since previous census","1946","Co. Cavan","Number","-6315"
"Actual change since previous census","1946","Co. Clare","Number","-4815"
"Actual change since previous census","1946","Co. Cork","Number","-12289"
"Actual change since previous census","1946","Co. Donegal","Number","-5993"
"Actual change since previous census","1946","Co. Dublin","Number","49268"
"Actual change since previous census","1946","Co. Galway","Number","-2997"
"Actual change since previous census","1946","Co. Kerry","Number","-5941"
"Actual change since previous census","1946","Co. Kildare","Number","6957"
"Actual change since previous census","1946","Co. Kilkenny","Number","-1902"
"Actual change since previous census","1946","Co. Laois","Number","-412"
"Actual change since previous census","1946","Co. Leitrim","Number","-6317"
"Actual change since previous census","1946","Co. Limerick","Number","1406"
"Actual change since previous census","1946","Co. Longford","Number","-1629"
"Actual change since previous census","1946","Co. Louth","Number","1855"
"Actual change since previous census","1946","Co. Mayo","Number","-13229"
"Actual change since previous census","1946","Co. Meath","Number","4827"
"Actual change since previous census","1946","Co. Monaghan","Number","-4074"
"Actual change since previous census","1946","Co. Offaly","Number","2378"
"Actual change since previous census","1946","Co. Roscommon","Number","-5056"
"Actual change since previous census","1946","Co. Sligo","Number","-5072"
"Actual change since previous census","1946","Co. Tipperary","Number","-1821"
"Actual change since previous census","1946","Co. Waterford","Number","-1506"
"Actual change since previous census","1946","Co. Westmeath","Number","243"
"Actual change since previous census","1946","Co. Wexford","Number","-2390"
"Actual change since previous census","1946","Co. Wicklow","Number","1882"
"Actual change since previous census","1951","Ireland","Number","5486"
"Actual change since previous census","1951","Co. Carlow","Number","81"
"Actual change since previous census","1951","Co. Cavan","Number","-3978"
"Actual change since previous census","1951","Co. Clare","Number","-3735"
"Actual change since previous census","1951","Co. Cork","Number","-2384"
"Actual change since previous census","1951","Co. Donegal","Number","-4787"
"Actual change since previous census","1951","Co. Dublin","Number","56829"
"Actual change since previous census","1951","Co. Galway","Number","-4997"
"Actual change since previous census","1951","Co. Kerry","Number","-7249"
"Actual change since previous census","1951","Co. Kildare","Number","1588"
"Actual change since previous census","1951","Co. Kilkenny","Number","-1477"
"Actual change since previous census","1951","Co. Laois","Number","-1267"
"Actual change since previous census","1951","Co. Leitrim","Number","-3382"
"Actual change since previous census","1951","Co. Limerick","Number","-1320"
"Actual change since previous census","1951","Co. Longford","Number","-1665"
"Actual change since previous census","1951","Co. Louth","Number","2577"
"Actual change since previous census","1951","Co. Mayo","Number","-6253"
"Actual change since previous census","1951","Co. Meath","Number","105"
"Actual change since previous census","1951","Co. Monaghan","Number","-1870"
"Actual change since previous census","1951","Co. Offaly","Number","-1142"
"Actual change since previous census","1951","Co. Roscommon","Number","-4408"
"Actual change since previous census","1951","Co. Sligo","Number","-1862"
"Actual change since previous census","1951","Co. Tipperary","Number","-2701"
"Actual change since previous census","1951","Co. Waterford","Number","-1047"
"Actual change since previous census","1951","Co. Westmeath","Number","-486"
"Actual change since previous census","1951","Co. Wexford","Number","-1823"
"Actual change since previous census","1951","Co. Wicklow","Number","2139"
"Actual change since previous census","1956","Ireland","Number","-62329"
"Actual change since previous census","1956","Co. Carlow","Number","-274"
"Actual change since previous census","1956","Co. Cavan","Number","-4637"
"Actual change since previous census","1956","Co. Clare","Number","-4153"
"Actual change since previous census","1956","Co. Cork","Number","-4621"
"Actual change since previous census","1956","Co. Donegal","Number","-9471"
